id,screenName,userId,text,location,multi-team,sentiment
482,mpopchock,22787091,"Ain't no party like a #CRO watch party, and a Croatian watch party don't stop. #WorldCup https://t.co/6Do9mQD7r7","McCandless, PA",FALSE,pos
483,flossflex,1245412082,"When Tigger takes better selfies than you?
.
#dogsofinstagram #yorkie #Croatia #yorkiemix #blondequeen https://t.co/IciTtu8m1n","Houston, TX",FALSE,nan
484,crys_sosic,280202295,??? LOVE where you’re from ??????? #WorldCup #CRO #UFC  @stipemiocic #AndStill https://t.co/4kqby9Zuql,"Cleveland, OH",FALSE,pos
485,rafiuzi,32304275,#timeismoney #timetoshine #upgrade #england #worldcup #matchday #men #mensfitness #menwatch #menstyle #menfashion… https://t.co/O0RD67DUZJ,"Manhattan, NY",FALSE,nan
486,sammie4c,463302095,Hey nyc! I’ve lost my boyfriend... he was we last seen wearing an #England jersey. He’s probably somewhere on the e… https://t.co/wlZXB7trnd,"Manhattan, NY",FALSE,nan
487,BrianOwens24_74,76657172,"Sleep, rest,  and watched #worldcup #baseball #eveyhorseraceeveryday and #nascar what a way to spend a #vacation sp… https://t.co/XJcJuzJwXL","Chicago, IL",FALSE,nan
488,livingstonway,3333480922,Zagreb tonight is the definition of lit #CRO #WorldCup https://t.co/KYi8vMgLuF,"Red Hill, SC",FALSE,pos
489,perrins,5807302,#worldinmotion sorry this is the England song https://t.co/m49PC5KCB2 #england !! look at Waddle Wadlle :),"Anderson Mill, TX",FALSE,nan
490,CTIGower,27403522,"What a day. #ItsComingHome

#ThreeLions #ENG #WorldCup #FootballsComingHome @England #ENGSWE https://t.co/ETWiAh7402","Los Angeles, CA",FALSE,pos
491,MatthewSpeak,321830896,"Before every match: ""oh this team is really strong, @England will have their hands full."" 
After England wins: ""Wel… https://t.co/y8fRzXm7Mk","Burbank, CA",FALSE,nan
492,BinkleyOnStyle,27160098,I think this is my favorite #WorldCup ever.,"Los Angeles, CA",FALSE,nan
493,ExplosiveOutput,35200006,"I really wish I could have watched every minute of Russia/Croatia today. Just caught up on highlights, this is one hell of a #worldcup","St Michael, MN",FALSE,nan
494,jmakespolaroids,145881393,Wow! Wish I was in #Croatia! https://t.co/ivzYNg7iYd,"California, USA",FALSE,pos
495,allenwallace,40809789,Clint Smith is my spirit animal. #WorldCup https://t.co/EPTSkkH5pa,"South Carolina, USA",FALSE,nan
496,LouisTeeter15,614367531,@fedele_fries @funbobbymg @Jimbo_Slice14 @Sschulte51 #BRA #WorldCup https://t.co/4QViR1JsDb,"Sterling Heights, MI",FALSE,nan
497,ivyh,15919716,"As much as I’m following the #WorldCup, this team is the one I’m cheering on the most. #GetThoseKids… https://t.co/IovLeLrUll","Burbank, CA",FALSE,nan
498,ce_jmz,324793457,"So, who do you think is gonna win the #worldcup? I'm  hesitant to name any team since all I liked are home.","San Diego, CA",FALSE,nan
499,Pritom_MUFC,1347654770,"Best goal in World Cup 2018 so far is:
#WorldCup #WorldCup2018","Lubbock, TX",FALSE,nan
500,mikerips,179939491,???????? Croatia ???????? #WorldCup https://t.co/M4xLA4aPcH,"Rancho Palos Verdes, CA",FALSE,pos
501,3RANSON,3146767973,What it means to #ENG ?? #ThreeLions #WorldCup https://t.co/OWGf6HCzKE,"Monrovia, CA",FALSE,pos
502,n_e_some1,18646426,"#ENG best players in #WorldCup so far - Pickford, Maguire, Trippier, Henderson, Lingard - all Northerners #justsaying #loveyoutooharrykane","Manhattan, NY",FALSE,pos
503,jordono015,28913282,@robertherjavec I?i Hrvatska!!!!!!!! #worldcup,"Gainesville, FL",FALSE,nan
504,chrennix,226865709,Looks like Russia’s #WorldCup referee budget ran out at about minute 115... #RussiaVsCroatia #bye… https://t.co/5EI9vPQfj6,"Washington, DC",FALSE,nan
505,leslielaurence,17487268,Wow! What a nail biter! Go #Croatia! #WorldCup2018 #RussiaVsCroatia # https://t.co/rlS8pH9ydZ,"Manhattan, NY",FALSE,pos
506,theekayfree92,339459501,#ExquisiteTasteEnt #TheWhiteHouse #CommanderInChief #MediaDay #MiracleMile #SealTeam #Shooter #USA #WorldCup ???? @… https://t.co/pLixTqEqkK,"Las Vegas, NV",FALSE,nan
507,YCGreer,1585779517,"10 reasons why #England can win the World Cup. #ThreeLions

1)it
2)doesn’t
3)matter
4)really
5)because 
6)we 
7) ha… https://t.co/jS8S6SaGwi","Atascocita, TX",FALSE,pos
508,jordono015,28913282,@FOXSports to je bila vrlo dobra igra I?i Hrvatska!!!!!!!! #worldcup,"Gainesville, FL",FALSE,nan
509,jordono015,28913282,@ChelseaClinton to je bila vrlo dobra igra I?i Hrvatska!!!!!!!! #worldcup,"Gainesville, FL",FALSE,nan
510,jordono015,28913282,@SportsCenter @Sabina_Wallace to je bila vrlo dobra igra I?i Hrvatska!!!!!!!! #worldcup,"Gainesville, FL",FALSE,nan
511,nmhall,14167476,"Working class, feminist, anti-racist with a tender heart and endless loyalty seeking a #football team to support af… https://t.co/vcsd6Oxws1","West Palm Beach, FL",FALSE,nan
512,LehighPizza,2859408732,Go Greece! #worldcup ??,"Bethlehem, PA",FALSE,nan
513,Masha_Grover,8.95E+17,#WorldCup #??2018 https://t.co/oGpZstuDG6,"Clearwater, FL",FALSE,nan
514,Ysak_Krishnan,1603476776,"No World Cup semis without Germany, Brazil or Yugoslavia in it #WorldCup","Boca Raton, FL",FALSE,nan
515,IsaacMizrahi2go,55650895,"Your team is out of the #WorldCup? How about cheering for these 12 soccer players from Thailand?  
Sending positive… https://t.co/pYmDPyr4CN","Pinecrest, FL",FALSE,nan
516,JavierStarks,342333772,Who's been watching #WorldCup!? Lawd bbc showed @MilesMosley BIG love today! I see you broski!! Go team SB! ??… https://t.co/RqAGPm6B0M,"Washington, DC",FALSE,nan
517,pjkaz,81472102,"""A win by a national team did not result in an improvement in the country’s financial market performance. This migh… https://t.co/82CCEgxzsX","Seattle, WA",FALSE,nan
518,FJackson76,32946410,Apparently Putin is better at fixing elections then soccer games. #WorldCup #Trump #TrumpNotWelcome,"Wilsonville, OR",FALSE,nan
519,pharmacistjim5,7.77E+17,@NeilSpyBarnett @RayHudson @SiriusXMFC @JohnBennettBBC @premierleague @Magnus_Hedman Listening to Friday's show now… https://t.co/JrJ83cL3Wl,"Akron, OH",FALSE,nan
520,SoloKeri,27508324,"Bye bye Russia!!!! #WorldCup 
#RussiaVsCroatia","Houston, TX",FALSE,nan
521,brilliantorange,5203191,A more enjoyable part of this #WorldCup has been listening to the @FootballRamble sputter with hysterical disbelief after every #ENG match.,"Los Angeles, CA",FALSE,nan
522,d_sedlar,211570962,"Wild celebrations in Croatia after a huge win. #WorldCup 

https://t.co/Pz9tAgRMET","Omaha, NE",FALSE,pos
523,Miiikey,15495586,"Never felt this feeling. #England in the semi-finals of the #WorldCup. #ItsComingHome #ThreeLions.. Mexico, we beat… https://t.co/XpQsyOt8hF","San Diego, CA",FALSE,pos
524,WalkerArtMedia,169650245,So @rrjohnson now you have 4 years to design #Wakanda #WorldCup champion jerseys #BlackPanther,"Minneapolis, MN",FALSE,nan
525,grantstern,19422491,"Russia lost. 

#WorldCup","Miami, FL",FALSE,nan
526,d_sedlar,211570962,Croatia is on fire ?. Literally. #WorldCup https://t.co/2y57pK4KF5,"Omaha, NE",FALSE,pos
527,TweeterTeej,1322375479,The fact that there just so happens to be a pretty big event going on for @ovi8 in his home country with 100’s of t… https://t.co/fiJDDkNA7y,"Fort Washington, MD",FALSE,nan
528,jtschroder,25422781,"We’ve produced over 120 episodes of The Incredible Dr. Pol, but tonight’s episode is one of our best!  #drpol… https://t.co/qsLmNqXF2k","Mount Pleasant, MI",FALSE,nan
529,ronnieisrunning,364544742,"https://t.co/2JKhsekx3F 6,939 days in a row #SaturdayMotivation #WorldCup #Boston #running #marathon #sports #USA #summer #Dallas #NYC","Dallas, TX",FALSE,nan
530,momsfocus,36143299,"@soccerdotcom @adidasoriginals ?GIVEAWAY? 
The #WorldCup semifinals are set! We're recapping today’s ??????? and ??… https://t.co/e1TsU40T9H","Irving, TX",FALSE,nan
531,CoachMichelleB2,7.88E+17,@jen_jenburke Go #England,"Chattanooga, TN",FALSE,pos
532,TheGorgeousGael,2577030728,"#Saturday Night July 7th
@TheGorgeousGael ??
#RiceVillage #WestU #Houston

#LiveMusic  7P  #patio ?   

$5… https://t.co/MXxOvCYgAw","Houston, TX",FALSE,nan
533,jamestaylor,14571692,"??????? Semi-finals! #england #worldcup #itscominghome #russia2018 #greenport @ Greenport, New York https://t.co/L1zuCyaNyE","Greenport, NY",FALSE,pos
534,Jeggers8,72293382,@AlexiLalas The greatest #WorldCup was when you played!  #Legend!!!,"Florida, USA",FALSE,nan
535,DJLoons,813666374,@Hugeshow Hey... Thanks for all the World Cup talk on your show!! Of the four teams left in the Semifinals... Which… https://t.co/V7JayQv6oY,"Wyoming, MI",FALSE,nan
536,aleximenez,14409630,La final #WorldCup la van a jugar:,"Manhattan, NY",FALSE,nan
537,KimJChesney,459842034,You obviously haven’t been to my house! The hubs sets his morning alarm based on the #WorldCup games. Luckily this… https://t.co/jTGtiOQTjd,"Red Oak, TX",FALSE,nan
538,MattyMatt214,101150424,@Carl_Cox has me wishing I was in #Croatia @UltraEurope for the @ResistanceMusic closing set.,"Carol City, FL",FALSE,nan
539,Gigiscik,139322897,I don’t always  bet when I do is only to win?  #RussiaCroazia #Betting #WorldCup #Penalties #Crazy https://t.co/3Z2P562CBy,"Beverly Hills, CA",FALSE,nan
540,adamvanho,50807638,"Great to see @johnkasich liked my observation. 

#AllNATOWorldCup #WorldCup https://t.co/OPteIN71vM","Munroe Falls, OH",FALSE,nan
541,KikiD333,4892140491,Another day feeling like I was born in the wrong country. #England,"Nashville, TN",FALSE,nan
542,ShksprAddict,515094551,"After watching #ENGSWE &amp; #RUSCRO #worldcup matches today, this disjointed , sloppy play from @SoundersFC &amp; @NERevolution is rough #NEvSEA ??","SeaTac, WA",FALSE,nan
543,JoshuaBrunken,1485218402,"I btw am giving a shout out to 

#WorldCup fans worldwide

who ever want a place to visit in #Omaha sometime 

I.e.… https://t.co/S0sO7xZHc6","Omaha, NE",FALSE,nan
544,Lavesq,56700919,Cheers from #Lutze! Go #Croatia!! ?? #jerseycity #summer #biergarten #thatview #saturday #weekend #weekendvibes… https://t.co/TZyDyLkR4p,"Jersey City, NJ",FALSE,pos
545,An1m8d,116504600,I won't get to see a single second of the semi-finals. First world problems. #WorldCup  ??,"Myrtle Beach, SC",FALSE,nan
546,betsyrowbottom,11992582,"Super sports day! Croatia crushed Russia! And since Russia fucked with our election, losing the #WorldCup seems lik… https://t.co/fSZMW11hQt","Milwaukee, WI",FALSE,nan
547,beat2394,33835821,This dude was dialed in all game. #FIFAWorldCup https://t.co/eCuWbwNSd2,"Oxon Hill, MD",FALSE,nan
548,LadyFabnyc,3149787820,#lastone #about #yesterday #proud #of #myboys #brazilian #heros #playing #soccer #in #a #worldcup #worldcup2018… https://t.co/MttUn0cZyF,"Manhattan, NY",FALSE,nan
549,Derrall,17463572,My plane took off at the start of the 2nd half of extra time of #RUSCRO. #Croatia led 2-1. Just landed to see I mis… https://t.co/zyk2juKTML,"College Park, GA",FALSE,nan
550,slatkaa_,52818118,"&amp; still no #Croatia skin on #Fortnite I see, thnx for the inclusion!! ?? BOOOOOOO @EpicGames @FortniteGame","Austin, TX",FALSE,nan
551,brossssy,2241469657,remember guys...soccer is boring. #FIFAWorldCup #bestsportever ?,"Orchards, WA",FALSE,nan
552,TheFree_Bird,20639333,@JustinTrudeau @NATO @jensstoltenberg ?????????? BEAT down the ? Menace to Democracy ??Go #Croatia BEAT down the “… https://t.co/WFoL5fxO5o,United States,FALSE,pos
553,FhzFun,3345910095,#craftbeer #worldcup #drinklocal #DrinkUp #brewery #Bar #BeerOClock #beertography @badhopper @Just4BeerLovers… https://t.co/xi85r8ohFZ,Bone Hook Brewing Co,FALSE,nan
554,VegasSquares,9.27E+17,"#Belgium
????????

 #WorldCupRussia #WorldCup18 #WorldCup @FIFAcom @FIFAWorldCup https://t.co/licaJks5ry","Las Vegas, NV",FALSE,pos
555,JoshuaBrunken,1485218402,"For my UK friends , 

We got a great British Pub in #OmahaNebraska

In the Benson neighborhood of #Omaha 

just men… https://t.co/jCy37TtgIc","Omaha, NE",FALSE,nan
556,naseimthedream,8.46E+17,https://t.co/rglIuHkeAn #WorldCup https://t.co/l0PgIxa6vq,"Queens, NY",FALSE,nan
557,PFWineTours,1395469609,How happy #alessiofantucci is that brazil is out! #worldcup #futball #fazerottispizza #lovethiskidsomuch… https://t.co/mQ8aFTJjJU,"Napa, CA",FALSE,nan
558,FhzFun,3345910095,@sake_tasty @zappafaye @BrewbigSteve @Jagoff33 @badhopper @TomHerringbone @CWBrewing @DaveK72 @Beerislove25… https://t.co/qX9nqR1bh1,Bone Hook Brewing Co,FALSE,nan
559,Roger_Roeper,7.93E+17,"After witnessing #ThreeLions take down #SWE, @Gene_Lyons_ and I rented a cabana and watched #CRO beat #RUS in penal… https://t.co/b37mAhhyMy",The Cabana At The Pool At The Doubletree Scottsdale,FALSE,nan
560,HipCounsel,7.51E+17,"Harder to come by than a win on penalties in the #WorldCup 
Did you get your invitation yet?
#FoundersDozen https://t.co/4tT6XMKJSb","Mamaroneck, NY",FALSE,nan
561,theREALjoecab,453143577,Good bye #Russia #WorldCup,"Florida, USA",FALSE,nan
562,RMCFBoston,1650626515,"You are the best ?????? @lukamodric10 we love you! Go whoop some ass on the next round! 

#halamadrid #realmadrid… https://t.co/ohkIHzDtTx","Boston, MA",FALSE,pos
563,mgarbowski,14709226,#RUSCRO It was neat how Croatia missed a goal by this much when a shot hit the inside post and it bounced all the w… https://t.co/Z3curTnwDR,"Queens, NY",FALSE,nan
564,anton1s,21554316,When it comes down to penalties it’s anyone’s game. Well done #Croatia #FifaWorldCup2018 https://t.co/UDJtvohy6w,"San Francisco, CA",FALSE,pos
565,mayank,728373,"Me after watching, Pele : Birth of a legend! #worldcup #pele #goosebumps https://t.co/PM2Y25lBGc","Charlotte, NC",FALSE,nan
566,RachaelMcKriger,1566948030,Probably one of the saddest recaps I’ll have to ever write. @TeamRussia’s storybook run in the @FIFAWorldCup is off… https://t.co/u7ARRx0Y9R,"Aliquippa, PA",FALSE,nan
567,lsagalovsky,324530731,"92 players in the #WorldCup2018 #Semifinals play in the following leagues: 40 (43%) in #England, 12 (13%) in #Spain… https://t.co/uv9uHykP0d","Chicago, IL",FALSE,nan
568,clintcrockett,119539076,Congrats on 2 great years @brizbeer! Looking forward to so many more! #Beer #BadAss #Belgium #Mmm (at @BruzBeers in… https://t.co/tO1CFOsOu1,"Twin Lakes, CO",FALSE,nan
569,LasVegasLocally,1587143948,This vid of British boxing legend Ricky Hatton @HitmanHatton celebrating England's #WorldCup victory in Las Vegas m… https://t.co/nmM5U1SqBk,"Paradise, NV",FALSE,pos
570,GladysTheNinja,1206802626,"Yo the World Cup is yeeting out all my teams, que onda ?? #MundialRusia2018 #WorldCup #WorldCupFinal","Phoenix, AZ",FALSE,nan
571,MikeBarbre,16316853,Sitting at attention for #RUSvsCRO. #WorldCup https://t.co/fwGq48jEov,Hawks Nest West,FALSE,nan
572,jchaltiwanger,192935052,All of the “It’s coming home” memes make me very scared for England if “it” doesn’t come “home.” Are y’all gonna be OK? #WorldCup,"Brooklyn, NY",FALSE,neg
573,Home4Ya,140154759,NEW #WORLDCUP FOOSE BALL TABLE! #manup #breakanailisNOTredcard #leaveacting2hollywood #playhardplayclean https://t.co/50qa97qfcJ,"Gilbert, AZ",FALSE,nan
574,katarinnakat,51016885,Dua Lipa after supporting Switzerland (because of Albanian players) wishing for England to win the #WorldCup. This… https://t.co/kXDIr3OJyT,"Nevada, USA",FALSE,pos
575,BIOFEEDBACKPRO,472722616,Now playing on #HungJuryEntRadio Hung Jury Ent Radio ???? beyonce @aintnojigga #InternetRadio #radio #music #Africa… https://t.co/ZymWpHzuLQ,"Crofton, MD",FALSE,nan
576,TexSR_Tanner1,2477561683,Does anyone know if @BWWings will be opening early on 7/15 for the #WorldCup Final?,"Flower Mound, TX",FALSE,nan
577,louloumadden7,20634676,Good on you #England ??????? First time in semis since 1990. Time to bring it home! #worldcup,"Arnold, MD",FALSE,pos
578,grantstern,19422491,"Thank you Croatia!

#CRORUS

#WorldCup","North Miami, FL",FALSE,pos
579,BaileyTV78,20021391,I get to see #WorldCup champion players like @alikrieger monthly in #Orlando. First season ticket holder for the fr… https://t.co/R6rKGiR7xh,Orlando City Stadium,FALSE,nan
580,jamespowell363,20033461,I don’t think I’ve ever wanted to be in #eng more than I have tonight #worldcup #itsciminghome #threelions,"Rancho Santa Margarita, CA",FALSE,pos
581,ZEWilloughby,156415523,@KShawThompson I'd like to formally apologize and blame @Russia and #Croatia for making me miss it. #WorldCup,"Cincinnati, OH",FALSE,nan
582,flowersmeller,20047482,"'Bring it home Boys' ??????
Even Winston Churchill would be proud.
Semi final on @fifaworldcup here we come...… https://t.co/97PemUF6wR","Fair Oaks, CA",FALSE,pos
583,Gigiscik,139322897,"Best player of Worldcup so far is Modric for me.
If he Croazia wins the tournament he should get Golden Ball???… https://t.co/20NLV3hEeV","Beverly Hills, CA",FALSE,nan
584,PaulFromFox5,54561501,"EVERYONE laughed when I chose to root for #Croatia. Who's laughing now, @GoodDayAtlanta team??? #Semifinals… https://t.co/sU8Nw1ZC3h","Sandy Springs, GA",FALSE,pos
585,noneck,686993,Putin is still writing the #WorldCup script!,"New York, USA",FALSE,nan
586,dpgirlstrack,1319156089,Always love an underdog that perseveres. Reminds me of a track program I know. ??? #Croatia #WorldCup2018… https://t.co/mBqpXSi7jM,"North Great River, NY",FALSE,pos
587,jamespowell363,20033461,"We got Alli, dele alli I just don’t think you understand , he only cost 5 mill he’s better than Ozil we got Dele Al… https://t.co/lE0BGOhhgZ","Rancho Santa Margarita, CA",FALSE,nan
588,TobyS2,88839710,Nice day for some soccer. They played “It’s Coming Home” over the PA for pregame. Here I thought #England… https://t.co/HKYyc94UpS,Section 224 Lucas Oil Stadium,FALSE,pos
589,FilmProfessor9,260559365,"@PalmerReport @realDonaldTrump Trump's-Just-venting-about-Russia's-loss-to-Croatia

#WorldCup 
#RUSCRO 
#rus

Trump-Tower-#Zagreb-?????","Manhattan, NY",FALSE,nan
590,ShaunWurzbach,105809679,@lifetimetv @alywagner Great idea to bring a world class player’s knowledge and energy to the commentary.  Well don… https://t.co/2ymYoVoIyd,"New York, USA",FALSE,nan
591,dsullivan251,24893951,"Indeed, it is!! #WorldCup https://t.co/QkqeiQ2zU8","North Little Rock, AR",FALSE,nan
592,jamesburrell2,17001831,@RT_com Except Croatian PKs #WorldCup,"Manhattan, NY",FALSE,nan
593,ParaShift,55769549,Watch on #Periscope: Following Jesus: Church and State: Part 1 #630SN #Romans13 #Bible #WorldCup #WorldCup2018… https://t.co/xTbM65WEhe,"Marion, OH",FALSE,nan
594,jncorcoran1,18364226,#England is my team ?? https://t.co/Muz3RtZx4p,"Napa, CA",FALSE,pos
595,Vinn_zego,54148900,#worldcup2018 #russia2018 #worldcuprussia #worldcupfans #worldcup #soccerdjs #americansoccer fans #vinnzego… https://t.co/Pt5bj82BLQ,"Oakland, CA",FALSE,nan
596,BIOFEEDBACKPRO,472722616,Last played on Hung Jury Ent Radio #HungJuryEntRadio ???#InternetRadio #Africa #egypt #netherlands #norway #germany… https://t.co/2oJnqMSCjU,"Washington, DC",FALSE,nan
597,gcalfrobe,413583819,Comrade trump must be mad as fuck that #Russia lost today. #WorldCup,"New York, USA",FALSE,nan
598,TrueJeffJohnson,3394762623,Unreal!! Go England! Go!! #FIFAWorldCup https://t.co/12onslYvBR,"Apple Valley, MN",FALSE,pos
599,BesiktasUsa1903,3886428916,#WorldCup #RUSCRO #CRO https://t.co/WJ5ZcBtRY8,"New York, USA",FALSE,nan
600,riffv,118192743,The Croatia kits look like they work at Five Guys #WorldCup #RUSvsCRO,"Philadelphia, PA",FALSE,nan
601,Laura_JD44,425490245,Srce Vatreno!! ??????? #WorldCup #CRO #Vatreni #BudiPonosan https://t.co/GVdQBTXXFy,"Maplewood, MN",FALSE,nan
602,ryanbelk,19037525,LOVE this photograph. #RUSCRO #WorldCup https://t.co/t0l5e2w4yN,"Ladson, SC",FALSE,nan
603,Laura_JD44,425490245,Soooooooooooooooo proud right now!! #WorldCup #Vatreni #Hrvatska #CRO #HNS ?????????,"Maplewood, MN",FALSE,pos
604,HourlyPayAaron,7.41E+17,"Yo soy muy guapo y ella es muy bonita.

#antmanandthewasp #americasgottalent #americasnexttopmodel #worldcup… https://t.co/7zTkqnaUKG","Bucaná, Puerto Rico",FALSE,nan
605,jshelat1,361901781,The drama of the #WorldCup today called for some high Russian society drama.?? #AnnaKarenina #LeoTolstoy https://t.co/KBltjjPA3I,"Georgia, USA",FALSE,nan
606,gussthelawyer,63212141,I’m going to sleep well knowing the Russians are eliminated from the #WorldCup,"Silver Spring, MD",FALSE,nan
607,rurtz,478913126,#WorldCup is the greatest sporting event in the world. Hands down.,"Nashville, TN",FALSE,nan
608,Adrian_Benepe,427951650,@realDonaldTrump just called #Putin to commiserate about #Russia being knocked out of #FIFAWorldCup. It’s an all-NA… https://t.co/jUP97an99p,"Manhattan, NY",FALSE,nan
609,MayteMirella2,8.06E+17,Who’s in these photos? What happens in your main today my friends @NancyPelosi @TheDemocrats @people @Loza_Mirella… https://t.co/3cplkwWzlW,"New Hampshire, USA",FALSE,nan
610,tomxchao,15304459,"Norm and I were going to ride to Brighton Beach to watch the Croatia-Russia game, but we only made it as far as Con… https://t.co/gNDDBz6xQR","Brooklyn, NY",FALSE,nan
611,arungopalv,85394795,I was rooting for #CRO but well played #RUS. Everyone going to remember this #WorldCup and what a great #host and… https://t.co/feVBOv0CHn,"Short Pump, VA",FALSE,pos
612,slavehand,637117083,"#FuckYeahCroatia
#WorldCup
#FuckYeah
#Croatia
#Gooooaaaalllllll
#Rusia
#Rusia2018 
#Ole
#OlayOlayOlay
#.........
??????","Georgia, USA",FALSE,pos
613,johnnykera,179530315,Croatia advances to the semi-finals in World Cup soccer. #croatia #croat #Nin #soccer #worldcup #hrvatska #hrvat… https://t.co/I7HjtgVKhd,"California, USA",FALSE,pos
614,hopps_tech,8.64E+17,@mcteaguessaloon is our favorite bar to watch the World Cup at — dog friendly ? and lots of beer ? and TVs. Tag you… https://t.co/986JF755OT,"San Francisco, CA",FALSE,nan
615,awestover,84381639,?@MaltybyNature #worldcup https://t.co/gHXOKJsj21,"White Marsh, MD",FALSE,nan
616,ArleneStillwell,20520577,"SLIVOVITZ TIME!!!
#WorldCup
#Croatia ?","New York, USA",FALSE,nan
617,mcserranob,84778391,Croacia ?? vs. Russia ?? game ?? #worldcup #russia2018 #shadehotelmb #manhattanbeach #soccer @ Shade Hotel Manhatta… https://t.co/Vq6GhCSp4h,"Manhattan Beach, CA",FALSE,nan
618,reduxio_dmitry,20948061,4 for 4. Not bad as far as wild guesses go. #WorldCup #WorldCup2018,"Bedford, MA",FALSE,nan
619,dfoglein00,1081448815,Today's #WorldCup games are why I love watching soccer. Now hoping the @PhilaUnion can follow suit with three points. #DOOP,"Chester, PA",FALSE,nan
620,THE_MIDRANGE,7.59E+17,Modric out here looking like rumpelstiltskin #Croatia #CRORUS #WorldCup @BarstoolBigCat https://t.co/p3eJShGUuL,"Milwaukee, WI",FALSE,nan
621,tomwatson,1049171,Tough loss for Team Russia today! #Croatia https://t.co/Wq7mReXKVh,"Ossining, NY",FALSE,nan
622,jeolmoz2,622975095,@_footballfan @LionCuban @5280Keith @MonteAJP23 @LWOSJohnBava @RachaelMcKriger @McLeodBrown3 @RealPhatsBlog… https://t.co/fYT0GLVKFs,"Winter Haven, FL",FALSE,nan
623,houstonstyle,29493760,"#SerenaWilliams' quest for an eighth career Wimbledon title remains alive after she scored a 7-5, 7-6 (2) third rou… https://t.co/e3QHufWP2B","Houston, TX",FALSE,nan
624,deuce_wild,38869053,POOL DAY!!!??????????#leaniebear #daddyduties #saturday #2018 #goodmemories #silkofheaven #coronacutie… https://t.co/kyJd0dVoWr,"Queens, NY",FALSE,nan
625,harsh_mall,29942324,"If you're not at the #WorldCup in Russia, Queens NY is your next best option #CRO https://t.co/4mfOU8vSKI","Queens, NY",FALSE,pos
626,itsgloomanddoom,1275338113,#victory #icecream sooo much better than #sadness #icecream ! What a match! What a #worldcup2018 #soproud to be… https://t.co/RlFY62BDKZ,"Akron, OH",FALSE,nan
627,KidsHaffykids,4400166917,World Cup is getting closer to the finals. What a bunch of surprises during this 2018 edition..... who is still in?… https://t.co/b1sN1GxrRV,"Miami Beach, FL",FALSE,nan
628,Sleepybrowne,278095620,This was an expected performance from #Russia  ?? but they had no business making it this far into the… https://t.co/cxm9yNIJzz,"Brooklyn, NY",FALSE,nan
629,parimalrohit,160779625,There are millions of forgotten or untold stories associated with #WorldWar1. We know so little about #India’s invo… https://t.co/byWKlsHn9D,"Lakewood, CA",FALSE,nan
630,HummusLoser467,302938075,How long before Russia annexes part of Croatia and poisons the two players that missed their penalty shots? No joke… https://t.co/qul53w1NeV,"Minneapolis, MN",FALSE,nan
631,edgarvlermamd,83057568,"CV events during #WorldCup ?? from @NEJM #meded 
?? https://t.co/ipioAgrmr9 https://t.co/zhrCryNJoN","Riverside, IL",FALSE,nan
632,caa1000,32148675,#Croatia at the #WorldCup #Russia2018 https://t.co/IozzR6Hx6S,"Sky Lake, FL",FALSE,pos
633,AdamMinton,9200332,"Proud of #England today, let’s keep it rolling! #WorldCup2018 ??????? ?? ?","Rancho Santa Fe, CA",FALSE,pos
634,kdse1958,168936734,"Well, Russia lost the World Cup, but as a consolation, they won the US election. #Russia #WorldCup","Berkeley, CA",FALSE,nan
635,murmiles,454323057,"@HumanProgress @GroverNorquist Although in #France , the number is skewed by regular garbage and train strikes ...","Hallandale Beach, FL",FALSE,nan
636,mattmoore3476,810000116,#Russia lost? Welp rules are rules. #WorldCup https://t.co/dbVLRgWrnO,"Florida, USA",FALSE,nan
637,dabowen01,987553904,Having some victory swedish meatballs since football is very nearly home #SWEENG #WorldCup #SWE #ENG ??????????… https://t.co/28LyaDalF8,"Oakland, CA",FALSE,nan
638,MishaGutkin,414437543,What is this world coming to? #Russia2018WorldCup #England https://t.co/bn987IZvL7,"New York, USA",FALSE,nan
639,MarkoGojanovic,830109006,"Proud day for #Croatia #futbol#semifinal#worldcup#ajmo @ Los Angeles, California https://t.co/yVa9MBMGME","Los Angeles, CA",FALSE,pos
640,daliosway,110750419,"#CRO ??have done well but your tweet is misleading. Aside from #ARG ??, who reached the #WorldCup Final in 2014 &amp;… https://t.co/WYjblSEZ9G","Los Angeles, CA",FALSE,pos
641,jeolmoz2,622975095,@LionCuban @repuglicanssuck @MonteAJP23 @_footballfan @5280Keith @LWOSJohnBava @RachaelMcKriger @McLeodBrown3… https://t.co/MAjdv98051,"Winter Haven, FL",FALSE,nan
642,craig_tracey,377139166,Roofdeck and my favorite wine from #croatia. Done and done. https://t.co/IAlV48f0bk,"Boston, MA",FALSE,nan
643,OOlojo,422285910,Should I want Croatia to win bc they came out of the group that beat Nigeria? ? #WorldCup,"Desoto, TX",FALSE,nan
644,PamGoodwinCRE,78320133,@HNS_CFF @FIFAWorldCup Way to go #Croatia,"Texas, USA",FALSE,pos
645,PerreiraJulian,457777734,"I haven’t got a fucking clue what I’m doing... ?? just got to pretend you do! 
•
•
•
•
•
•
•
#aspen #usa #dj… https://t.co/OCiBK2VDF8","Aspen, CO",FALSE,nan
646,Swamper60,426957556,"Maybe they should be home protecting THEIR  wives from the raping, murdering barbarians they invited into #Sweden… https://t.co/fO1Zs3Yzwu","Marlborough, MA",FALSE,nan
647,1Sambo3,1352159036,Well @ThatCroatianGuy survived #RUSCRO barely tho!!!???? congrat John #WorldCup,"North Carolina, USA",FALSE,nan
